xmin,ymin,xmax,ymax,text,labels,SpecialCharacterCount,isFloat,isDate,TotalDistinctNumber,BigNumLength,DoesContainsNum,POSTagDistributionSYM,POSTagDistributionNUM,POSTagDistributionCCONJ,POSTagDistributionPROPN
16,14,135,45,3180303,,0.0,1,0,1,3180303.0,1,0,1,0,0
147,132,471,154,LIAN HING STATIONERY SDN BHD,company,0.0,0,0,0,0.0,0,0,0,0,3
263,158,362,178,(162761-M),,3.0,0,0,1,162761.0,1,0,1,0,1
133,181,489,201,"NO.32 & 33, JALAN SR 1/9, SEKSYEN 9,",address,6.0,0,0,5,33.0,1,0,3,1,4
196,202,427,221,"TAMAN SERDANG RAYA,",address,1.0,0,0,0,0.0,0,0,0,0,0
139,227,490,246,"43300 SERI KEMBANGAN, SELANGOR",address,1.0,0,0,1,43300.0,1,0,1,0,3
245,251,381,268,DARUL EHSAN,address,0.0,0,0,0,0.0,0,0,0,0,1
190,274,437,296,GST ID : 002139201536,,1.0,0,0,1,2139201536.0,1,0,1,0,2
253,309,371,329,TAX INVOICE,,0.0,0,0,0,0.0,0,0,0,0,0
117,335,212,357,27/03/2018,date,2.0,0,1,3,2018.0,1,0,1,0,0
369,336,503,355,NO : CS-20243,,2.0,0,0,1,20243.0,1,0,0,0,0
381,382,411,403,QTY,,0.0,0,0,0,0.0,0,0,0,0,1
418,382,453,401,TAX,,0.0,0,0,0,0.0,0,0,0,0,1
494,384,525,400,RM,,0.0,0,0,0,0.0,0,0,0,0,1
108,404,350,424,F/CASTELL 187057-75 TACK-IT,,3.0,0,0,2,187057.0,1,2,2,0,3
391,405,404,423,2,,0.0,1,0,1,2.0,1,0,0,0,0
426,407,451,423,SR,address,0.0,0,0,0,0.0,0,0,0,0,0
478,406,525,422,12.00,total,1.0,1,0,2,12.0,1,0,1,0,0
111,426,343,447,75G- WHITE (NEW) @ 5.6600,,5.0,0,0,3,6600.0,1,0,2,0,2
129,474,372,496,TOTAL AMT INCL. GST @ 6% :,,4.0,0,1,1,6.0,1,0,1,0,2
455,477,502,493,12.00,total,1.0,1,0,2,12.0,1,0,1,0,0
179,509,375,528,ROUNDING ADJUSTMENT :,,1.0,0,0,0,0.0,0,0,0,0,0
200,541,374,560,TOTAL AMT PAYABLE :,,1.0,0,0,0,0.0,0,0,0,0,1
450,540,502,558,12.00,total,1.0,1,0,2,12.0,1,0,1,0,0
252,575,373,592,PAID AMOUNT :,,1.0,0,0,0,0.0,0,0,0,0,0
454,575,501,591,20.00,,1.0,1,0,2,20.0,1,0,1,0,0
292,606,371,628,CHANGE :,,1.0,0,0,0,0.0,0,0,0,0,0
464,608,503,627,8.00,,1.0,1,0,2,8.0,1,0,1,0,0
213,641,372,661,TOTAL QTY TENDER :,,1.0,0,0,0,0.0,0,0,0,0,1
490,641,502,660,2,,0.0,1,0,1,2.0,1,0,0,0,0
127,692,254,714,GST SUMMARY,,0.0,0,0,0,0.0,0,0,0,0,2
289,692,358,708,AMOUNT,,0.0,0,0,0,0.0,0,0,0,0,0
445,692,477,709,TAX,,0.0,0,0,0,0.0,0,0,0,0,1
315,713,358,733,(RM),,2.0,0,0,0,0.0,0,0,0,0,1
434,715,478,734,(RM),,2.0,0,0,0,0.0,0,0,0,0,1
126,745,197,765,SR @ A,,1.0,0,0,0,0.0,0,0,0,0,1
319,746,364,761,11.32,,1.0,1,0,2,32.0,1,0,1,0,0
440,745,477,761,0.68,,1.0,1,0,2,68.0,1,0,1,0,0
124,773,169,791,TOTAL,,0.0,0,0,0,0.0,0,0,0,0,0
320,771,366,788,11.32,,1.0,1,0,2,32.0,1,0,1,0,0
439,773,476,789,0.68,,1.0,1,0,2,68.0,1,0,1,0,0
243,810,359,830,THANK YOU,,0.0,0,0,0,0.0,0,0,0,0,0
159,835,457,854,"FOR ANY ENQUIRY, PLEASE CONTACT US;",,2.0,0,0,0,0.0,0,0,0,0,3
